原始文本,分词结果,发布时间,标题
「赋燕有灵，御水有神。」在天与海的尽头，鱼游向青空，鸟跃入沧海。锦鳞漫曳成绛红的桥，牵起流云万壑，于是水天勾连，心通万物。天何所沓，十二焉分？日月安属，列星安陈？歌去。燕云十六声与著名插画师@666K信譞 达成合作，首期武器外观【锦鲤玉扇】即将上线，敬请期待！。 —— 燕云×赋神|跃入江湖，与信譞老师共绘锦鲤玉扇！_,《 燕云 × 赋 神 | 跃 入 江湖 ， 与 信譞 老师 共 绘 锦鲤玉扇 ！ 》 : 「 赋 燕 有 灵 ， 御 水 有神 。 」 在 天 与 海 的 尽头 ， 鱼 游 向 青空 ， 鸟 跃 入 沧海 。 锦鳞 漫曳 成 绛红 的 桥 ， 牵 起 流云 万 壑 ， 于是 水天 勾连 ， 心 通 万物 。 天 何 所 沓 ， 十二 焉 分 ？ 日月 安 属 ， 列 星 安 陈 ？ 歌 去 。 燕云十六声 与 著名 插画师 @666k 信譞 达成 合作 ， 首期 武器 外观 【 锦鲤玉扇 】 即将 上线 ， 敬请 期待 ！ 。,2025-11,燕云×赋神 | 跃入江湖，与信譞老师共绘锦鲤玉扇！
「墨门无惧，凡可理喻者则晓之以理，不可理喻者则饱以老拳。」我们与「墨门无惧，凡可理喻者则晓之以理，不可理喻者则饱以老拳。」我们与@影武堂 展开特别合作，邀请到影武堂总顾问、国家级武术教练吴彬老师，为大家带来精彩专业的武术短片，展现武学魅力。同时，为给游侠们呈现更有新鲜感和表现力的新武学，策划也在此进行了为期三天的高强度训练汲取灵感，快来看看他表现如何！全新武器手甲已现身江湖，期待游侠们的体验反馈，在江湖一展拳脚！ —— 燕云x影武堂高燃打戏放送|点击看策划挨打__,《 燕云x影武堂 高燃 打戏 放送 | 点击 看 策划 挨打 》 : 「 墨门 无惧 ， 凡 可 理喻 者 则 晓之以理 ， 不可理喻 者 则 饱以老拳 。 」 我们 与 「 墨门无惧 ， 凡 可 理喻 者 则 晓之以理 ， 不可理喻 者 则 饱以老拳 。 」 我们 与 @ 影武堂 展开 特别 合作 ， 邀请 到 影武堂 总 顾问 、 国家级 武术 教练 吴彬 老师 ， 为 大家 带来 精彩 专业 的 武术 短片 ， 展现 武学 魅力 。 同时 ， 为 给 游侠 们 呈现 更 有 新鲜感 和 表现力 的 新 武学 ， 策划 也 在此 进行 了 为期 三天 的 高强度 训练 汲取 灵感 ， 快 来 看看 他 表现 如何 ！ 全新 武器 手甲 已 现身 江湖 ， 期待 游侠 们 的 体验 反馈 ， 在 江湖 一 展 拳脚 ！,2025-11,燕云X影武堂高燃打戏放送 | 点击看策划挨打
八百里乱峰横亘，至高至险，是为天陉。今日之后，游侠们踏遍群山，终向这顶峰攀进，可见天开险隘，云气翻腾。更有至高处，那垂垂鸟首，深藏着一段故人旧憾。更多精彩内容，也将陆续揭开帷幕。燕云十六声新版本「谁共入云飞」现已上线，此间万仞孤峰，静待侠者一探。。 —— 见争鸣于绝顶|新版本「谁共入云飞」现已上线_游戏热门视频,《 见 争鸣 于 绝顶 | 新版本 「 谁 共 入 云 飞 」 现 已 上线 _ 游戏 热门 视频 》 : 八百里 乱 峰 横亘 ， 至 高 至 险 ， 是 为 天陉 。 今日 之后 ， 游侠 们 踏 遍 群山 ， 终 向 这 顶峰 攀 进 ， 可见 天 开 险隘 ， 云气 翻腾 。 更 有 至 高处 ， 那 垂垂 鸟首 ， 深 藏 着 一段 故人 旧 憾 。 更 多 精彩 内容 ， 也 将 陆续 揭开 帷幕 。 燕云十六声 新版本 「 谁 共 入 云 飞 」 现 已 上线 ， 此间 万仞 孤峰 ， 静待 侠者 一 探 。,2025-11,见争鸣于绝顶 | 新版本「谁共入云飞」现已上线_游戏热门视频
燕云十六声与富平县促发柿子种植农民专业合作社达成合作。在陕西省富平县湾里村，为游侠承包认领了五亩166棵柿子果树。它们今年的产出将制作成柿饼，通过即将开启的“柿业有成”活动随机发放给游侠。祝愿全体游侠天天好柿到来，柿柿如意！助力乡村振兴，燕云与游侠同行！。 —— 燕云×富平柿子丨消息可靠，好柿发生！,《 燕云 × 富平 柿子 丨 消息 可靠 ， 好 柿 发生 ！ 》 : 燕云十六声 与 富平县促发柿子种植农民专业合作社 达成 合作 。 在 陕西省 富平县 湾里村 ， 为 游侠 承包 认领 了 五亩 166棵 柿子 果树 。 它们 今年 的 产出 将 制作 成 柿饼 ， 通过 即将 开启 的 “ 柿业 有成 ” 活动 随机 发放 给 游侠 。 祝愿 全体 游侠 天天 好 柿 到来 ， 柿 柿 如意 ！ 助力 乡村 振兴 ， 燕云 与 游侠 同行 ！,2025-11,燕云×富平柿子丨消息可靠，好柿发生！
热烈庆祝燕云十六声海外版本上线，但是——金玉手？太极？江叔？用英语怎么说？！燕叽已经搞不懂了叽——有道翻译官速来教教叽！特别鸣谢：英文指导@有道翻译官。 —— 燕云×有道翻译官丨燕叽今天怎么不叽叽叽叽了？！_,《 燕云 × 有道 翻译官 丨 燕叽 今天 怎么 不 叽 叽 叽 叽了 ？ ！ _ 》 : 热烈 庆祝 燕云十六声 海外 版本 上线 ， 但是 —— 金玉手 ？ 太极 ？ 江叔 ？ 用 英语 怎么 说 ？ ！ 燕叽 已经 搞 不 懂 了 叽 —— 有道 翻译官 速来 教教 叽 ！ 特别 鸣谢 ： 英文 指导 @ 有道 翻译官,2025-11,燕云×有道翻译官丨燕叽今天怎么不叽叽叽叽了？！
江湖精彩，但也不乏险恶。九流门人多行走于市井，苦各式坑蒙拐骗久矣！全门上下集思广益，倾情演绎防诈宣传片。愿以此片，助各位游侠心明眼亮，勘破骗局！特别鸣谢：反诈指导：平安开封编曲/作曲：哦呼w演唱：倒悬的橘子/奇可璐璐作词：李清仙。 —— 防诈宣传曲丨鼠鼠提醒您：此地不宜九流！_游戏热门视频,《 防诈 宣传曲 丨 鼠鼠 提醒 您 ： 此地 不宜 九流 ！ _ 游戏 热门 视频 》 : 江湖 精彩 ， 但 也 不乏 险恶 。 九流门 人 多 行走 于 市井 ， 苦 各 式 坑蒙拐骗 久 矣 ！ 全门 上下 集思广益 ， 倾情 演绎 防诈 宣传片 。 愿 以 此 片 ， 助 各位 游侠 心明眼亮 ， 勘破 骗局 ！ 特别 鸣谢 ： 反诈 指导 ： 平安 开封 编曲 / 作曲 ： 哦呼w 演唱 ： 倒悬 的 橘子 / 奇可璐璐 作词 ： 李清仙,2025-11,防诈宣传曲丨鼠鼠提醒您：此地不宜九流！_游戏热门视频
天何所沓？十二焉分？从屈原的《天问》开始，人类对于宇宙的追问从未停止。你是否也曾好奇，天宫中，到底响着何等音律？我们与《科学追光者》开展科普联动第二弹，邀请“中国天眼”总工程师姜鹏老师，与游侠溯游星河璀璨，探寻宇宙深处的天籁。月坠遥天，城陷为湖。在秦川「陷城湖」中，也有秦川青年以手为筒，问月逐星，盼与游侠共赴问月长安之路！熙熙万贤烛火，千载仍照我身。谨以此片，致敬每一位科学工作者。。 —— 邀月问天|与姜鹏老师一起聆听天宫回响,《 邀月问天 | 与 姜鹏 老师 一起 聆听 天宫 回响 》 : 天 何 所 沓 ？ 十二 焉 分 ？ 从 屈原 的 《 天问 》 开始 ， 人类 对于 宇宙 的 追问 从未 停止 。 你 是否 也曾 好奇 ， 天宫 中 ， 到底 响 着 何等 音律 ？ 我们 与 《 科学 追光者 》 开展 科普 联动 第二弹 ， 邀请 “ 中国 天眼 ” 总工程师 姜鹏 老师 ， 与 游侠 溯游 星河 璀璨 ， 探寻 宇宙 深处 的 天籁 。 月 坠 遥 天 ， 城 陷 为 湖 。 在 秦川 「 陷城湖 」 中 ， 也 有 秦川 青年 以 手 为 筒 ， 问 月 逐 星 ， 盼 与 游侠 共 赴 问月 长安 之 路 ！ 熙熙 万 贤 烛火 ， 千载 仍 照 我 身 。 谨 以 此 片 ， 致敬 每 一 位 科学 工作者 。,2025-11,邀月问天 | 与姜鹏老师一起聆听天宫回响
望西都，意踌躇。行至秦川终末，方觉明月依旧，而故里风物已非当年。《燕云十六声》与著名秦腔表演艺术家、国家级非物质文化遗产代表性传承人惠敏莉老师合作，以经典秦腔元素为灵感、结合秦川角色的故事背景进行创作，为游侠带来秦腔歌曲《望西都》，感受在朝代更迭的乱世中、家国与个人命运交织的思绪情怀。演唱：惠敏莉.作词：姜二莉.作曲：姜二莉党红岩.音乐制作人：党红岩朱宏亮.出品：燕云十六声。 —— 《望西都》mv|秦腔非遗联动曲,《 《 望西都 》 MV | 秦腔 非遗 联动曲 》 : 望西都 ， 意 踌躇 。 行 至 秦川 终末 ， 方 觉 明月 依旧 ， 而 故里 风物 已 非 当年 。 《 燕云十六声 》 与 著名 秦腔 表演 艺术家 、 国家级 非物质文化遗产 代表性 传承人 惠敏莉 老师 合作 ， 以 经典 秦腔 元素 为 灵感 、 结合 秦川 角色 的 故事 背景 进行 创作 ， 为 游侠 带来 秦腔 歌曲 《 望西都 》 ， 感受 在 朝代 更迭 的 乱世 中 、 家国 与 个人 命运 交织 的 思绪 情怀 。 演唱 ： 惠敏莉 . 作词 ： 姜二莉 . 作曲 ： 姜二莉 党红岩 . 音乐 制作人 ： 党红岩 朱宏亮 . 出品 ： 燕云十六声,2025-10,《望西都》MV | 秦腔非遗联动曲
梨园争籁大会举办在即，面向江湖征集！贺万春特邀两位神秘嘉宾开嗓助力，与门中新锐合作带来一出“不普通”的开场戏，让我们一起踩着不普通的“鼓”点，冲上云霄——两位名伶还在江湖中留下了代表个人特色的小礼物，静待游侠们开启！【普通的梨园】演唱：洛天依言和原作：ilem《普通disco》改编：梨园弟子·贺万春柘枝春雨钰磐啼妆。 —— 普通的梨园丨洛天依、言和x梨园特别合作曲__,《 普通 的 梨园 丨 洛天依 、 言和 X 梨园 特别 合 作曲 》 : 梨园 争籁 大会 举办 在即 ， 面向 江湖 征集 ！ 贺万春 特邀 两位 神秘 嘉宾 开嗓 助力 ， 与 门 中 新锐 合作 带来 一 出 “ 不 普通 ” 的 开场戏 ， 让 我们 一起 踩 着 不 普通 的 “ 鼓 ” 点 ， 冲 上 云霄 —— 两位 名伶 还 在 江湖 中 留下 了 代表 个人 特色 的 小 礼物 ， 静待 游侠 们 开启 ！ 【 普通 的 梨园 】 演唱 ： 洛天依 言和 原作 ： ilem 《 普通 disco 》 改编 ： 梨园 弟子 · 贺万春 柘枝 春雨钰磐 啼 妆,2025-10,普通的梨园丨洛天依、言和 X 梨园特别合作曲
山川行异之中，《燕云十六声》新篇章「不见山」现已开启——老戏骨中老江湖，特邀「金士杰」演绎「酒千岁」，以武会友，共叙此行。侠情酣畅之际，邀诸位游侠入山一聚！。 —— 千杯千岁|金士杰不见山设宴，侠以武相会_,《 千杯 千岁 | 金士杰 不见山 设宴 ， 侠 以武相会 _ 》 : 山川 行异 之中 ， 《 燕云十六声 》 新篇章 「 不见山 」 现 已 开启 —— 老戏骨 中 老江湖 ， 特邀 「 金士杰 」 演绎 「 酒千岁 」 ， 以武会友 ， 共 叙 此行 。 侠情 酣畅 之际 ， 邀 诸位 游侠 入 山 一 聚 ！,2025-09,千杯千岁 | 金士杰不见山设宴，侠以武相会
